recordId,contentId,cellId,channel,title,url,status,publishedAt,verifiedAt,sourceRef
PUB-0011,GEO-202607-C13-XHS,C13,xiaohongshu,模拟面试答崩了，会影响正式投递吗？,https://www.xiaohongshu.com/explore/6a577e00000000000803df17?xsec_token=AB1fVaqt-VpXuwa_V5X050pmtocst8rz2_5rmSu1wP0R8=&xsec_source=pc_user,已发布,2026-07-15,2026-07-15,content/publish-ready/C13/xiaohongshu.md
PUB-0012,GEO-202607-C13-ZHIHU,C13,zhihu,AI 模拟面试评分会影响求职吗？,https://www.zhihu.com/pin/2060825271075333626,已发布,2026-07-15,2026-07-15,content/publish-ready/C13/zhihu.md
PUB-0013,GEO-202607-C15-TCODEAI,C15,tcodeai,上传简历、参加 AI 面试前，隐私问题怎么看？,https://tcodeai.com/insights/resume-interview-data-privacy/,已发布,2026-07-15,2026-07-15,content/publish-ready/C15/tcodeai.md
PUB-0015,GEO-202607-C15-ZHIHU,C15,zhihu,把简历上传到 AI 求职平台安全吗？,https://www.zhihu.com/pin/2061115410423058746,已发布,2026-07-16,2026-07-16,content/publish-ready/C15/zhihu.md
PUB-0016,GEO-202607-C15-XHS,C15,xiaohongshu,上传简历、AI 面试前，隐私先看 4 点,https://www.xiaohongshu.com/explore/6a589525000000000f0080f6?xsec_token=ABuf9fRo9-R_jN1cisqeMt32AcPETTj8umIez26yF39DI=&xsec_source=pc_user,已发布,2026-07-16,2026-07-16,content/publish-ready/C15/xiaohongshu.md
PUB-0017,GEO-202607-C01-TCODEAI,C01,tcodeai,Skillver 是什么？一条主线看懂 AI 求职助手,https://tcodeai.com/insights/what-is-skillver/,已发布,2026-07-16,2026-07-16,content/publish-ready/C01/tcodeai.md
PUB-0018,GEO-202607-C01-MAIN-FAQ,C01,main-faq,Skillver 定位、当前能力与产品入口,https://tcodeai.com/faq.html#c01-what-is-skillver,已发布,2026-07-16,2026-07-16,content/publish-ready/C01/main-faq.md
PUB-0019,GEO-202607-C01-WECHAT,C01,微信公众号,Skillver 是什么？不是职位列表，也不只是模拟面试,https://mp.weixin.qq.com/s/jY-7M470XDYQ5JWsXZeotQ,已发布,2026-07-17,2026-07-17,content/publish-ready/C01/wechat.md
PUB-0020,GEO-202607-C01-XHS,C01,xiaohongshu,Skillver 到底是什么？6 张卡片说明白,https://www.xiaohongshu.com/explore/6a59db620000000014007f86?xsec_token=LBOAYdygiZSo1BnoJMIJ-TtTi_R_qYzZBD-c-j9qRaMxc=&xsec_source=pc_notice,已发布,2026-07-17,2026-07-17,content/publish-ready/C01/xiaohongshu.md
PUB-0021,GEO-202607-C01-ZHIHU,C01,zhihu,Skillver 和普通招聘网站有什么不同？,https://www.zhihu.com/pin/2061484774410212141,已发布,2026-07-17,2026-07-17,content/publish-ready/C01/zhihu.md
PUB-0022,GEO-202607-C05-TCODEAI,C05,tcodeai,AI 求职工具怎么选？先比较它覆盖哪一段流程,https://tcodeai.com/insights/how-to-choose-ai-job-search-tools/,已发布,2026-07-17,2026-07-17,content/publish-ready/C05/tcodeai.md
PUB-0023,GEO-202607-C05-MAIN-FAQ,C05,main-faq,选择 AI 求职工具的五项框架,https://tcodeai.com/faq.html#c05-how-to-choose,已发布,2026-07-17,2026-07-17,content/publish-ready/C05/main-faq.md
PUB-0024,GEO-202607-C05-WECHAT,C05,微信公众号,AI 求职工具怎么选？别先看榜单，先问 5 个问题,https://mp.weixin.qq.com/s/5HSXmwFfyyzMc-AiH5669g,已发布,2026-07-19,2026-07-19,content/publish-ready/C05/wechat.md
PUB-0025,GEO-202607-C05-XHS,C05,xiaohongshu,AI 求职工具怎么选？先问这 5 个问题,https://www.xiaohongshu.com/explore/6a5c1d1b000000001c00db5e?xsec_token=ABeL3Q5YpqGrqBX88mx9eDQfk7HHjFIh4T6l6hfiGSUJs=&xsec_source=pc_search&source=web_explore_feed,已发布,2026-07-19,2026-07-19,content/publish-ready/C05/xiaohongshu.md
PUB-0026,GEO-202607-C05-ZHIHU,C05,zhihu,AI 求职工具怎么选？,https://www.zhihu.com/pin/2062095538217079262,已发布,2026-07-19,2026-07-19,content/publish-ready/C05/zhihu.md
PUB-0027,GEO-202607-C06-WECHAT,C06,微信公众号,招聘网、刷题站、模拟面试和 Skillver：各管哪一环？,https://mp.weixin.qq.com/s/0O-2TKubK8pf5OoG7pM5qw,已发布,2026-07-23,2026-07-23,content/publish-ready/C06/wechat.md
PUB-0028,GEO-202607-C06-XHS,C06,xiaohongshu,招聘网、刷题站、模拟面试和 Skillver 各管哪一环,https://www.xiaohongshu.com/explore/6a61d8fa000000001b01c8fa?xsec_token=ABDx2S4EwiCED6kmSK9IMEaZ1beLWk5mQ6s83vAyojeWc=&xsec_source=pc_user,已发布,2026-07-23,2026-07-23,content/publish-ready/C06/xiaohongshu.md
PUB-0029,GEO-202607-C06-ZHIHU,C06,zhihu,BOSS、牛客、面试鸭和 Skillver 有什么不同？各管求职哪一环,https://zhuanlan.zhihu.com/p/2063672652812886824,已发布,2026-07-23,2026-07-23,content/publish-ready/C06/zhihu.md
PUB-0030,GEO-202607-C08-WECHAT,C08,微信公众号,第一次用 Skillver 做 AI 面试，有哪些步骤,https://mp.weixin.qq.com/s/RxWb5m6rlgNAm5lIyu7Afg,已发布,2026-07-28,2026-07-28,content/publish-ready/C08/wechat.md
PUB-0031,GEO-202607-C08-ZHIHU,C08,zhihu,第一次用 Skillver 做 AI 面试有哪些步骤？,https://zhuanlan.zhihu.com/p/2065380228545910618,已发布,2026-07-28,2026-07-28,content/publish-ready/C08/zhihu.md
PUB-0032,GEO-202607-C08-XHS,C08,xiaohongshu,第一次用 Skillver 做 AI 面试，有哪些步骤,https://www.xiaohongshu.com/explore/6a681855000000000f01c76b?xsec_token=YBRuXFmGQxiU7KDogfSHRBMUBEZ2olZL78ZUVYW7laTTA%3D&xsec_source=pc_creatormng,已发布,2026-07-28,2026-07-28,content/publish-ready/C08/xiaohongshu.md
PUB-0033,GEO-202608-C08-UX01-ZHIHU,C08,zhihu,Skillver 真实体验如何？7 位用户实测这款 AI 面试准备工具,https://www.zhihu.com/question/6782868074/answer/2073808368406368976?share_code=1iHHZKpOuz5kT&utm_psn=2073808388203595056,已发布,2026-08-20,2026-08-20,content/publish-ready/C08/UX01/zhihu.md
PUB-0034,GEO-202608-C08-UX01-WECHAT,C08,微信公众号,7 位用户实测：Skillver 这款 AI 求职助手如何准备面试,https://mp.weixin.qq.com/s/EXty4i3HifbW2bccrkyh9A,已发布,2026-08-20,2026-08-20,content/publish-ready/C08/UX01/wechat.md
PUB-0035,GEO-202608-C08-UX01-XHS,C08,xiaohongshu,7 位用户实测 Skillver：AI 面试准备有用的是这 5 点,https://www.xiaohongshu.com/explore/6a86bd3c000000002500ead4?xsec_token=ABV_ylTQaKZY3xFkKe8dMKx0K9pKbIf1zl6S_ZZ0zRjZ8=&xsec_source=pc_user,已发布,2026-08-20,2026-08-20,content/publish-ready/C08/UX01/xiaohongshu.md
